Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
3.0;Наземная;13000000;Москва;Неизвестно;0.0;Нет;Панельный;1.0;Косметический;3.9984
3.0;Неизвестно;20500000;Москва;ЖК «Город на Реке Тушино-2018»;0.0;Нет;Монолитный;2.0;Отсутсвует;0.7497
3.0;подземная;27500000;Москва;ЖК «Небо — Небоскребы на Мичуринском, 56»;2.0;Нет;Монолитный;1.0;Отсутсвует;0.9996
3.0;Неизвестно;15200000;Москва;ЖК «Летний сад»;0.0;Нет;Монолитный;2.0;Отсутсвует;0.5
3.0;Неизвестно;8000000;Ленинский;ЖК «Восточное Бутово»;2.0;Нет;Монолитный;0.0;Отсутсвует;100.0
1.0;подземная;8100000;Москва;ЖК «SREDA»;1.0;Нет;Монолитный;0.0;Отсутсвует;1.0
0.0;Наземная;5200000;Ленинский;ЖК «Зелёные аллеи»;1.0;Балкон;Монолитный;2.0;Отсутсвует;5.0
2.0;подземная;6197360;Москва;ЖК «Новые Ватутинки. Микрорайон Центральный»;8.0;Нет;Монолитный;1.0;Отсутсвует;3.25
0.0;подземная;4168750;Москва;ЖК «Новые Ватутинки. Микрорайон Центральный»;8.0;Нет;Монолитный;1.0;Отсутсвует;3.25
2.0;подземная;11366326;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.75
2.0;подземная;12825375;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.75
3.0;подземная;15154146;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.75
2.0;подземная;13400375;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.75
3.0;подземная;16601528;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.75
1.0;подземная;9246624;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.75
1.0;подземная;9679395;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.75
3.0;подземная;22111509;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.75
3.0;подземная;19978620;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.75
1.0;подземная;9759024;Москва;ЖК «FreeDOM»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.75
1.0;Неизвестно;5900000;Москва;ЖК «Скандинавия»;1.0;Нет;Монолитный;0.0;Отсутсвует;1.25
1.0;Неизвестно;3063420;Москва;ЖК «Цветочные поляны»;1.0;Нет;Монолитный;1.0;Отсутсвует;3.0
2.0;Неизвестно;7999999;Красногорский;ЖК «Спасский Мост»;0.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;Неизвестно;4039254;Москва;ЖК «Цветочные поляны»;1.0;Нет;Монолитный;1.0;Отсутсвует;2.5
0.0;Неизвестно;1799000;Мытищи;ЖК «Пироговская Ривьера»;1.0;Балкон;Монолитный;0.0;Отсутсвует;4.5
